Span,cl,BM,cm
0.7236842,0.909765,5.201657,-0.1770707
0.7352632,0.9067413,4.999835,-0.1770066
0.7468421,0.9036486,4.80248,-0.1769381
0.7584211,0.9004839,4.609575,-0.176865
0.77,0.8972446,4.421106,-0.1767868
0.7815789,0.8939274,4.237056,-0.1767031
0.7931579,0.8905291,4.057409,-0.1766135
0.8047368,0.8870461,3.882148,-0.1765174
0.8163158,0.8834746,3.711256,-0.1764143
0.8278947,0.8798105,3.544716,-0.1763034
0.8394737,0.8760494,3.38251,-0.1761841
0.8510526,0.8721867,3.224619,-0.1760554
0.8626316,0.8682172,3.071023,-0.1759165
0.8742105,0.8641353,2.921704,-0.1757661
0.8857895,0.8599352,2.776642,-0.1756031
0.8973684,0.8556103,2.635815,-0.1754258
0.9089474,0.8511536,2.499202,-0.1752326
0.9205263,0.8465571,2.366782,-0.1750215
0.9321053,0.8418124,2.238531,-0.1747901
0.9436842,0.8369099,2.114428,-0.1745356
0.9552632,0.8318391,1.994446,-0.1742545
0.9668421,0.8265881,1.878561,-0.173943
0.9784211,0.8211435,1.766749,-0.1735961
0.99,0.8154897,1.65898,-0.1732078
1.001579,0.809609,1.555229,-0.1727706
1.013158,0.8034799,1.455465,-0.1722751
1.024737,0.7970766,1.359659,-0.1717091
1.036316,0.7903666,1.26778,-0.1710565
1.047895,0.7833074,1.179793,-0.1702952
1.059474,0.7758389,1.095665,-0.1693938
1.071053,0.7678681,1.015358,-0.168304
1.082632,0.7592227,0.9388335,-0.1669454
1.094211,0.749455,0.8660488,-0.1651646
1.107667,0.7345465,0.7857472,-0.1643291
1.123,0.7159804,0.7006006,-0.1650463
1.138333,0.696376,0.6216431,-0.1654563
1.153667,0.6759763,0.548705,-0.1656488
1.169,0.6548158,0.48161,-0.1656611
1.184333,0.6328559,0.4201753,-0.1655043
1.199667,0.6100096,0.364211,-0.1651718
1.215,0.5861415,0.3135195,-0.1646422
1.230333,0.5610541,0.2678946,-0.1638795
1.245667,0.5344603,0.2271195,-0.162833
1.261,0.5059315,0.1909641,-0.1614444
1.276333,0.4747971,0.159182,-0.1596851
1.291667,0.439932,0.131504,-0.1577338
1.307,0.39923,0.1076287,-0.1569336
1.322333,0.3479919,0.08720421,-0.1675624
1.3385,0.2775458,0.06884119,-0.1019159
1.3555,0.2509201,0.05244994,-0.04978575
1.3725,0.2314046,0.03869703,-0.02889491
1.3895,0.2139849,0.02737727,-0.01766829
1.4065,0.1969644,0.01830748,-0.01074631
1.4235,0.1793493,0.01130872,-0.006076671
1.4405,0.1602357,0.006195758,-0.00271085
1.4575,0.138451,0.002767623,-0.000194736
1.4745,0.1119492,0.000795257,0.00161317
1.4915,0.075633,0,0.002453083
